Date,Zone,AgeGroup,Count
2020-04-08,3,60,2
2020-04-08,6,80,1
2020-05-31,5,80,3
2020-06-13,5,20,1
2020-06-13,5,30,1
2020-06-13,5,50,1
2020-06-17,5,20,1
2020-07-15,1,20,1
2020-08-06,1,40,1
2020-08-06,1,50,1
2020-08-13,1,30,1
2020-08-13,1,50,1
2020-08-15,1,40,2
2020-08-15,3,0,2
2020-09-02,1,20,1
2020-10-06,1,70,1
2020-10-06,1,80,1
2020-10-07,1,20,2
2020-10-07,1,40,3
2020-10-07,1,50,1
2020-10-07,1,60,2
2020-10-07,1,70,5
2020-10-07,1,80,2
2020-10-07,1,90,2
2020-10-12,1,50,1
2020-10-12,1,70,1
2020-10-12,1,80,1
2020-10-12,5,0,1
2020-10-12,5,20,1
2020-10-12,5,60,1
2020-10-13,1,70,1
2020-10-13,5,0,1
2020-10-13,5,30,1
2020-10-13,5,50,1
2020-10-13,5,60,2
2020-10-14,1,60,1
2020-10-14,1,70,1
2020-10-14,5,30,1
2020-10-14,5,40,2
2020-10-14,5,50,2
2020-10-14,5,60,1
2020-10-17,1,0,1
2020-10-17,2,30,1
2020-10-17,5,0,1
2020-10-17,5,40,1
2020-10-17,5,50,2
2020-10-17,5,60,2
2020-10-18,1,70,1
2020-10-18,1,80,1
2020-10-18,5,0,1
2020-10-18,5,50,1
2020-10-18,5,60,1
2020-11-07,3,20,1
2020-11-07,3,50,2
2020-11-08,3,30,1
2020-11-09,1,30,1
2020-11-12,1,30,1
2020-11-14,1,0,1
2020-11-14,1,20,2
2020-11-14,1,30,1
2020-11-14,2,50,1
2020-11-14,3,30,1
2020-11-17,1,20,2
2020-11-17,1,30,1
2020-11-17,3,20,1
2020-11-18,1,20,3
2020-11-18,1,30,1
2020-11-18,1,40,1
2020-11-18,2,20,1
2020-11-18,2,30,1
2020-11-18,3,30,1
2020-11-18,6,50,1
2020-11-25,2,50,1
2020-11-25,2,70,1
2020-11-25,6,30,1
2020-11-27,1,50,2
2020-11-27,1,60,1
2020-11-27,2,20,3
2020-11-27,2,30,4
2020-11-27,3,60,2
2020-11-29,1,0,1
2020-11-29,1,20,1
2020-11-29,1,40,2
2020-11-29,2,0,3
2020-11-29,2,30,1
2020-11-29,2,50,1
2020-11-29,2,80,2
2020-11-29,2,90,2
2020-11-29,6,30,1
2020-11-30,1,20,2
2020-11-30,2,20,1
2020-11-30,2,30,1
2020-11-30,3,60,1
2020-11-30,6,40,1
2020-12-11,3,30,1
2020-12-11,3,60,1
2020-12-11,4,30,1
2020-12-11,4,40,1
2020-12-11,4,50,3
2020-12-11,4,60,1
2020-12-16,1,20,1
2020-12-16,3,0,2
2020-12-16,3,20,1
2020-12-16,3,30,2
2020-12-16,4,20,1
2020-12-16,4,30,1
2020-12-23,3,0,1
2020-12-23,3,60,1
2020-12-23,5,20,1
2020-12-23,6,50,1
2020-12-23,7,50,1
2020-12-31,1,20,0
2020-12-31,1,40,0
2020-12-31,3,40,3
